labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min	LAT	LON
mul_spaN_041	38.429012298584	38.0219599734778	37.2455902099609	38.429012298584	38.0402147148761	37.2455902099609	38.4143714904785	37.985560897301	37.2455902099609	38.4143714904785	37.9874089032754	37.2455902099609	26.5929565429688	17.6973892244799	12.1435861587524	25.7737407684326	17.5143811324547	12.4194679260254	0.420123	0.161446	0.053244	0.503499	0.161166	0.032863	41.85722	3.14943
mul_spaN_042	38.3694801330566	37.8903266972509	37.059139251709	38.4016647338867	37.9760758174825	37.059139251709	38.2999076843262	37.8648592192551	37.059139251709	38.328540802002	37.8910166422526	37.059139251709	28.6548557281494	18.6956639974967	12.3537044525146	27.087574005127	18.5111178431018	12.7752180099487	0.918396	0.364989	0.097284	0.562285	0.259408	0.053639	41.113193	1.302395
mul_spaN_051	38.465145111084	38.0563739908153	37.3181800842285	38.4661178588867	38.0623098056365	37.3180923461914	38.465145111084	38.0537532937938	37.6269187927246	38.465145111084	38.0480986321109	37.6238288879395	27.3431129455566	18.2028457844394	12.2619543075562	26.0261993408203	17.995555825069	12.6702432632446	0.435665	0.16596	0.063363	0.450096	0.266099	0.077291	41.399887	2.277946
mul_spaN_059	38.5368232727051	38.0593826359716	37.3069152832031	38.5375137329102	38.0546693473027	37.3069152832031	38.462646484375	38.0459646290746	37.5942039489746	38.462646484375	38.041516086973	37.5922698974609	27.2272663116455	18.0435875010216	12.048225402832	26.0740489959717	17.9413143486812	12.587607383728	0.422852	0.156229	0.060165	0.539376	0.149203	0.029731	41.57825	2.555972
mul_spaN_062	38.4204254150391	37.9997117820827	37.1903648376465	38.4268188476562	38.0270259243318	37.1903648376465	38.4204254150391	37.9477706383015	37.1903648376465	38.424129486084	37.9507450761466	37.1903648376465	26.2223892211914	17.2925002766752	11.6629209518433	25.5373630523682	17.1707665607847	12.0434350967407	0.471659	0.158312	0.04148	0.026225	0.01617	0.010782	42.25794	3.179638
mul_spaN_065	38.4001579284668	38.0072575163567	37.2105026245117	38.4029846191406	38.0562871102325	37.2105026245117	38.4001579284668	37.9606136716645	37.2105026245117	38.4001579284668	37.9631619332851	37.2105026245117	26.2820987701416	17.4875274992537	12.1633338928223	25.4891471862793	17.2691985689361	12.3157548904419	0.418466	0.157423	0.050642	0.46106	0.237088	0.065412	41.96427	3.227777
mul_spaN_068	38.4196243286133	38.0002358973711	37.1880264282227	38.4257736206055	38.0148788515483	37.1880264282227	38.4196243286133	37.9483883824842	37.1880264282227	38.4238967895508	37.9518685001066	37.1880264282227	26.2209720611572	17.3040376202814	11.6670370101929	25.5114879608154	17.1702344236703	12.0603866577148	0.440293	0.153462	0.045314	0.481873	0.222712	0.057509	42.10805	3.170388
mul_spaS_002	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.815795	0.142432	0.040329	0.574493	0.277031	0.044872	36.924017	-1.941217
mul_spaS_003	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.815795	0.142432	0.040329	0.574493	0.277031	0.044872	36.924017	-1.941217
mul_spaS_004	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.815795	0.142432	0.040329	0.574493	0.277031	0.044872	36.924017	-1.941217
mul_spaS_005	38.0052070617676	36.8384411800867	36.1808052062988	38.5380325317383	37.5686222033412	36.1806144714355	37.9691505432129	36.9104059416672	36.2767677307129	37.9725379943848	36.9122858946351	36.2741470336914	27.9179153442383	19.1381959038219	13.9147424697876	27.0112113952637	18.9742787657113	14.0115537643433	0.816521	0.142899	0.04034	0.011582	0.010027	0.00883	36.86567	-1.9044
